City Name,Country Code,Year,Population,Size Category
Potiskum,NGA,2015,239.19,Fewer than 300 000
Okenne,NGA,2015,405.84,300 000 to 500 000
Ijebu Ode,NGA,2015,361.507,300 000 to 500 000
Ogbomosho,NGA,2015,446.74,300 000 to 500 000
Monguno,NGA,2015,48.436,Fewer than 300 000
Asaba,NGA,2015,240.395,Fewer than 300 000
Gboko,NGA,2015,380.736,300 000 to 500 000
Bida,NGA,2015,304.182,300 000 to 500 000
Ikirun,NGA,2015,216.776,Fewer than 300 000
Ilesha,NGA,2015,293.167,Fewer than 300 000
Gusau,NGA,2015,290.99,Fewer than 300 000
Igbidu,NGA,2015,376.567,300 000 to 500 000
Lokoja,NGA,2015,333.615,300 000 to 500 000
Shagamu,NGA,2015,179.25,Fewer than 300 000
Ondo,NGA,2015,434.06,300 000 to 500 000
Funtua,NGA,2015,164.204,Fewer than 300 000
Offa,NGA,2015,173.549,Fewer than 300 000
Mubi,NGA,2015,180.717,Fewer than 300 000
Ughelli,NGA,2015,196.297,Fewer than 300 000
Uromi,NGA,2015,149.483,Fewer than 300 000
Saki,NGA,2015,257.88,Fewer than 300 000
Hadejia,NGA,2015,144.11,Fewer than 300 000
Iwo,NGA,2015,281.88,Fewer than 300 000
Agbor,NGA,2015,146.486,Fewer than 300 000
Ikire,NGA,2015,229.213,Fewer than 300 000
Sapele,NGA,2015,185.952,Fewer than 300 000
Ado/Isalu/Iyafin,NGA,2015,37.404,Fewer than 300 000
Birnin Kebbi,NGA,2015,270.256,Fewer than 300 000
Azare,NGA,2015,150.9,Fewer than 300 000
Damboa,NGA,2015,44.381,Fewer than 300 000
Bama,NGA,2015,80.299,Fewer than 300 000
Keffi,NGA,2015,113.545,Fewer than 300 000
Zaki Biam,NGA,2015,160.857,Fewer than 300 000
Damaturu,NGA,2015,91.696,Fewer than 300 000
Oron,NGA,2015,136.007,Fewer than 300 000
Ore,NGA,2015,112.503,Fewer than 300 000
Gashua,NGA,2015,78.287,Fewer than 300 000
Ikot Ankan,NGA,2015,149.651,Fewer than 300 000
Biu,NGA,2015,132.32,Fewer than 300 000
Dikwa,NGA,2015,26.377,Fewer than 300 000
Jibiya,NGA,2015,60.469,Fewer than 300 000
Iseyin,NGA,2015,246.062,Fewer than 300 000
Badagry,NGA,2015,129.32,Fewer than 300 000
Gwagwalada,NGA,2015,244.754,Fewer than 300 000
Idah,NGA,2015,187.08,Fewer than 300 000
Epe,NGA,2015,114.087,Fewer than 300 000
Akpugo,NGA,2015,186.318,Fewer than 300 000
Okposi,NGA,2015,26.477,Fewer than 300 000
Auchi,NGA,2015,146.838,Fewer than 300 000
Argungu,NGA,2015,110.865,Fewer than 300 000
Kontagora,NGA,2015,112.868,Fewer than 300 000
Owo,NGA,2015,192.543,Fewer than 300 000
Wukari,NGA,2015,127.14,Fewer than 300 000
Nguru,NGA,2015,97.44,Fewer than 300 000
Yeghe,NGA,2015,35.19,Fewer than 300 000
Oturkpo,NGA,2015,210.26,Fewer than 300 000
Ikare,NGA,2015,219.075,Fewer than 300 000
Gambaru,NGA,2015,60.777,Fewer than 300 000
Zuru,NGA,2015,122.854,Fewer than 300 000
Ikerre Ekiti,NGA,2015,173.512,Fewer than 300 000
Mangu,NGA,2015,78.179,Fewer than 300 000
Dutsin Ma,NGA,2015,69.845,Fewer than 300 000
Bonny,NGA,2015,85.365,Fewer than 300 000
Bwari,NGA,2015,159.392,Fewer than 300 000
Daura,NGA,2015,109.606,Fewer than 300 000
Bela,NGA,2015,43.044,Fewer than 300 000
Dutse,NGA,2015,206.887,Fewer than 300 000
Ngala,NGA,2015,16.273,Fewer than 300 000
Dandume,NGA,2015,44.239,Fewer than 300 000
Omoku,NGA,2015,60.373,Fewer than 300 000
Ika,NGA,2015,97.541,Fewer than 300 000
Ankpa,NGA,2015,116.073,Fewer than 300 000
Ila,NGA,2015,65.065,Fewer than 300 000
Mayo Bani/Uba,NGA,2015,77.466,Fewer than 300 000
Egume,NGA,2015,121.875,Fewer than 300 000
Ijebu Igbo,NGA,2015,115.115,Fewer than 300 000
Ilaro,NGA,2015,92.16,Fewer than 300 000
Gajram,NGA,2015,14.187,Fewer than 300 000
Gwoza,NGA,2015,69.612,Fewer than 300 000
Gombi,NGA,2015,84.3,Fewer than 300 000
Ekparakwa,NGA,2015,14.896,Fewer than 300 000
Ugep,NGA,2015,69.955,Fewer than 300 000
Ipetumodu,NGA,2015,83.742,Fewer than 300 000
Okitipupa,NGA,2015,78.61,Fewer than 300 000
Omu Aran,NGA,2015,80.81,Fewer than 300 000
Rahama,NGA,2015,85.08,Fewer than 300 000
Kuje,NGA,2015,102.006,Fewer than 300 000
Gubio,NGA,2015,25.213,Fewer than 300 000
Kafanchan,NGA,2015,113.366,Fewer than 300 000
Jega,NGA,2015,73.28,Fewer than 300 000
Takum,NGA,2015,82.671,Fewer than 300 000
Nasarawa 1,NGA,2015,88.968,Fewer than 300 000
Talata Mafara,NGA,2015,48.96,Fewer than 300 000
Ahoada,NGA,2015,43.94,Fewer than 300 000
Doma,NGA,2015,98.963,Fewer than 300 000
Akwanga,NGA,2015,123.383,Fewer than 300 000
Afikpo,NGA,2015,82.5,Fewer than 300 000
Zunfur,NGA,2015,0.0,Fewer than 300 000
Yelwa 1,NGA,2015,76.3,Fewer than 300 000
Ejigbo,NGA,2015,152.387,Fewer than 300 000
Ifangni/Idi Iroko [NGA],NGA,2015,33.292,Fewer than 300 000
Pankshin,NGA,2015,58.921,Fewer than 300 000
Gaya,NGA,2015,36.55,Fewer than 300 000
Ago Iwoye & Oru,NGA,2015,119.98,Fewer than 300 000
Konduga,NGA,2015,26.006,Fewer than 300 000
Gumel 1,NGA,2015,63.258,Fewer than 300 000
Emure Ekiti,NGA,2015,98.117,Fewer than 300 000
Geidam,NGA,2015,75.84,Fewer than 300 000
Akungba,NGA,2015,111.75,Fewer than 300 000
Sarkin Kura,NGA,2015,29.04,Fewer than 300 000
Ogharefe,NGA,2015,114.84,Fewer than 300 000
Langtang,NGA,2015,137.34,Fewer than 300 000
Ikom,NGA,2015,67.565,Fewer than 300 000
Mokwa,NGA,2015,33.653,Fewer than 300 000
Kwale,NGA,2015,97.554,Fewer than 300 000
Malumfashi,NGA,2015,61.819,Fewer than 300 000
Obudu,NGA,2015,134.334,Fewer than 300 000
Damasak,NGA,2015,27.197,Fewer than 300 000
Akahufu,NGA,2015,31.1,Fewer than 300 000
Ganye,NGA,2015,99.187,Fewer than 300 000
Agosasa,NGA,2015,82.0,Fewer than 300 000
Katsina Ala,NGA,2015,112.28,Fewer than 300 000
Abraka,NGA,2015,101.811,Fewer than 300 000
Pulka,NGA,2015,20.379,Fewer than 300 000
Otukpa,NGA,2015,107.903,Fewer than 300 000
Okwuzi,NGA,2015,34.843,Fewer than 300 000
Isara,NGA,2015,114.189,Fewer than 300 000
Vom Wang,NGA,2015,27.0,Fewer than 300 000
Kaura Namoda,NGA,2015,60.32,Fewer than 300 000
Numan,NGA,2015,101.955,Fewer than 300 000
Igbo Ora,NGA,2015,86.044,Fewer than 300 000
Wudil,NGA,2015,62.73,Fewer than 300 000
Vande Ikya,NGA,2015,72.015,Fewer than 300 000
Molume,NGA,2015,23.92,Fewer than 300 000
Gummi,NGA,2015,46.772,Fewer than 300 000
Kishi,NGA,2015,87.497,Fewer than 300 000
Kabba,NGA,2015,92.492,Fewer than 300 000
Birnin Kudu,NGA,2015,51.298,Fewer than 300 000
Baga ,NGA,2015,39.847,Fewer than 300 000
Igboho,NGA,2015,66.755,Fewer than 300 000
Ngodo,NGA,2015,36.08,Fewer than 300 000
Kazaure,NGA,2015,57.859,Fewer than 300 000
Katabu,NGA,2015,33.881,Fewer than 300 000
Obiaruku,NGA,2015,80.323,Fewer than 300 000
Tudun Wada,NGA,2015,25.353,Fewer than 300 000
Lekki,NGA,2015,46.633,Fewer than 300 000
Okigwi,NGA,2015,49.673,Fewer than 300 000
Ringim,NGA,2015,27.274,Fewer than 300 000
Naka,NGA,2015,71.25,Fewer than 300 000
Bajoga,NGA,2015,54.03,Fewer than 300 000
Nto Edino,NGA,2015,87.388,Fewer than 300 000
Bichi,NGA,2015,34.48,Fewer than 300 000
Okuku,NGA,2015,61.574,Fewer than 300 000
Effium,NGA,2015,65.665,Fewer than 300 000
Okeiho,NGA,2015,94.361,Fewer than 300 000
Idanre,NGA,2015,69.236,Fewer than 300 000
Mutum Biyu,NGA,2015,51.192,Fewer than 300 000
Adikpo,NGA,2015,165.847,Fewer than 300 000
Malam Maduri,NGA,2015,29.489,Fewer than 300 000
Birnin Gwari,NGA,2015,28.745,Fewer than 300 000
Gwarzo,NGA,2015,39.04,Fewer than 300 000
Ikole,NGA,2015,95.345,Fewer than 300 000
Magumeri,NGA,2015,10.26,Fewer than 300 000
Abonnema,NGA,2015,23.616,Fewer than 300 000
Shinkafi,NGA,2015,41.025,Fewer than 300 000
Askira,NGA,2015,27.01,Fewer than 300 000
Ibiagidi,NGA,2015,80.765,Fewer than 300 000
Kankara,NGA,2015,26.934,Fewer than 300 000
Ikot,NGA,2015,84.127,Fewer than 300 000
Michika,NGA,2015,97.634,Fewer than 300 000
Koko 1,NGA,2015,46.463,Fewer than 300 000
Otuocha,NGA,2015,34.79,Fewer than 300 000
Tarau,NGA,2015,23.626,Fewer than 300 000
Kamba,NGA,2015,51.468,Fewer than 300 000
Aiyetoro,NGA,2015,70.814,Fewer than 300 000
Elele,NGA,2015,22.511,Fewer than 300 000
Gezawa,NGA,2015,24.14,Fewer than 300 000
Irele,NGA,2015,68.838,Fewer than 300 000
Oye Ekiti,NGA,2015,77.046,Fewer than 300 000
Ikot Owobo,NGA,2015,0.0,Fewer than 300 000
Awgu,NGA,2015,21.262,Fewer than 300 000
Zing,NGA,2015,57.279,Fewer than 300 000
Danbatta,NGA,2015,51.653,Fewer than 300 000
Kumo,NGA,2015,53.835,Fewer than 300 000
Song,NGA,2015,47.014,Fewer than 300 000
Ungwan Abdullah Maifata,NGA,2015,31.962,Fewer than 300 000
Ngurore,NGA,2015,30.525,Fewer than 300 000
Damare,NGA,2015,100.854,Fewer than 300 000
Aku,NGA,2015,19.467,Fewer than 300 000
Barakin Babele,NGA,2015,38.86,Fewer than 300 000
Agaie,NGA,2015,39.435,Fewer than 300 000
Omuo Ekiti,NGA,2015,108.183,Fewer than 300 000
Ugba,NGA,2015,54.15,Fewer than 300 000
Kagoro,NGA,2015,30.274,Fewer than 300 000
Babura,NGA,2015,26.381,Fewer than 300 000
Oja Odan,NGA,2015,46.442,Fewer than 300 000
Batsari,NGA,2015,24.758,Fewer than 300 000
Rano,NGA,2015,26.197,Fewer than 300 000
Tsafe,NGA,2015,30.96,Fewer than 300 000
Aliade,NGA,2015,70.42,Fewer than 300 000
Sabon Wuse,NGA,2015,59.825,Fewer than 300 000
Agwa,NGA,2015,29.602,Fewer than 300 000
Toto-Owu,NGA,2015,17.622,Fewer than 300 000
Obudi,NGA,2015,33.01,Fewer than 300 000
Achi 1,NGA,2015,35.075,Fewer than 300 000
Ibusa,NGA,2015,44.272,Fewer than 300 000
Wase,NGA,2015,21.349,Fewer than 300 000
Darazo,NGA,2015,34.72,Fewer than 300 000
Ipu/Ozaa/Asa,NGA,2015,37.884,Fewer than 300 000
Dawakin Kudu,NGA,2015,26.71,Fewer than 300 000
Kaltungo,NGA,2015,108.638,Fewer than 300 000
Pambeguwa,NGA,2015,30.903,Fewer than 300 000
Shendam,NGA,2015,53.441,Fewer than 300 000
Udi,NGA,2015,67.561,Fewer than 300 000
Akabuka,NGA,2015,38.745,Fewer than 300 000
Kwoi,NGA,2015,52.089,Fewer than 300 000
Ido Ekiti,NGA,2015,75.067,Fewer than 300 000
Oleh,NGA,2015,67.915,Fewer than 300 000
Ningi,NGA,2015,39.185,Fewer than 300 000
Uduma,NGA,2015,20.5,Fewer than 300 000
Chanchaga,NGA,2015,33.571,Fewer than 300 000
Lissam,NGA,2015,46.95,Fewer than 300 000
Makarfi,NGA,2015,22.193,Fewer than 300 000
Buniyadi,NGA,2015,46.96,Fewer than 300 000
Jauro,NGA,2015,30.52,Fewer than 300 000
Gembu,NGA,2015,26.682,Fewer than 300 000
Igbokoda,NGA,2015,54.166,Fewer than 300 000
Opete/Otokutu,NGA,2015,21.431,Fewer than 300 000
Uburu,NGA,2015,12.6,Fewer than 300 000
Ijero Ekiti,NGA,2015,58.99,Fewer than 300 000
Ogwashi Uku,NGA,2015,105.064,Fewer than 300 000
Ozoro,NGA,2015,89.766,Fewer than 300 000
Bali,NGA,2015,38.088,Fewer than 300 000
Fili,NGA,2015,76.112,Fewer than 300 000
Mafa,NGA,2015,10.41,Fewer than 300 000
Zonkwa,NGA,2015,34.476,Fewer than 300 000
Soba,NGA,2015,23.989,Fewer than 300 000
Gwadainya,NGA,2015,36.067,Fewer than 300 000
Ishiagu,NGA,2015,27.301,Fewer than 300 000
Okopedi,NGA,2015,23.864,Fewer than 300 000
Barabarobara,NGA,2015,25.8,Fewer than 300 000
Bakori,NGA,2015,24.712,Fewer than 300 000
Rijau,NGA,2015,35.179,Fewer than 300 000
Ejule,NGA,2015,57.75,Fewer than 300 000
Okpogho,NGA,2015,31.0,Fewer than 300 000
Jogana,NGA,2015,28.815,Fewer than 300 000
Benisheikh,NGA,2015,17.092,Fewer than 300 000
Misau,NGA,2015,44.54,Fewer than 300 000
Arochukwu,NGA,2015,48.96,Fewer than 300 000
New Bussa,NGA,2015,89.985,Fewer than 300 000
Ikot Offiong,NGA,2015,99.9,Fewer than 300 000
Gamawa,NGA,2015,23.76,Fewer than 300 000
Orerokpe,NGA,2015,77.873,Fewer than 300 000
Kado,NGA,2015,25.42,Fewer than 300 000
Maya Belwa,NGA,2015,55.544,Fewer than 300 000
Kaiama 1,NGA,2015,68.293,Fewer than 300 000
Eruwa,NGA,2015,83.427,Fewer than 300 000
Ohafia,NGA,2015,44.415,Fewer than 300 000
Ungwan Shehu,NGA,2015,19.075,Fewer than 300 000
Dukku ,NGA,2015,37.434,Fewer than 300 000
Abiriba,NGA,2015,43.965,Fewer than 300 000
Wurio,NGA,2015,25.416,Fewer than 300 000
Isanlu,NGA,2015,88.984,Fewer than 300 000
Oka Akoko,NGA,2015,57.525,Fewer than 300 000
Alizaga,NGA,2015,65.862,Fewer than 300 000
Gwaram ,NGA,2015,17.755,Fewer than 300 000
Ihalav,NGA,2015,28.704,Fewer than 300 000
Wurno,NGA,2015,25.44,Fewer than 300 000
Iwok Nsit/Odot/Ikot Itie Udung/Ikot Obong,NGA,2015,0.0,Fewer than 300 000
Sabuwa,NGA,2015,17.466,Fewer than 300 000
Aro,NGA,2015,47.845,Fewer than 300 000
Jaji ,NGA,2015,49.163,Fewer than 300 000
Billiri,NGA,2015,66.164,Fewer than 300 000
Gbongan,NGA,2015,75.657,Fewer than 300 000
Chibok,NGA,2015,23.334,Fewer than 300 000
Illela,NGA,2015,40.6,Fewer than 300 000
Ngambu,NGA,2015,13.924,Fewer than 300 000
Umuagu,NGA,2015,18.984,Fewer than 300 000
Kaura Munjo,NGA,2015,26.407,Fewer than 300 000
Inisa,NGA,2015,55.986,Fewer than 300 000
Isa,NGA,2015,29.835,Fewer than 300 000
Asa/Awara,NGA,2015,30.0,Fewer than 300 000
Uke,NGA,2015,26.25,Fewer than 300 000
Share,NGA,2015,28.302,Fewer than 300 000
Jamaare,NGA,2015,29.28,Fewer than 300 000
Oju,NGA,2015,109.06,Fewer than 300 000
Lafiagi,NGA,2015,58.655,Fewer than 300 000
Izom/Mararaba,NGA,2015,54.122,Fewer than 300 000
Lapai,NGA,2015,47.44,Fewer than 300 000
Amassama,NGA,2015,13.663,Fewer than 300 000
Egbolom,NGA,2015,23.341,Fewer than 300 000
Oro Esie Iludin,NGA,2015,84.437,Fewer than 300 000
Danja 1,NGA,2015,17.358,Fewer than 300 000
Iperu,NGA,2015,51.288,Fewer than 300 000
Igarra,NGA,2015,80.665,Fewer than 300 000
Bunza,NGA,2015,40.626,Fewer than 300 000
Dilpurtu,NGA,2015,39.872,Fewer than 300 000
Baissa,NGA,2015,22.845,Fewer than 300 000
Anka,NGA,2015,21.04,Fewer than 300 000
Ikot Akpaete,NGA,2015,33.792,Fewer than 300 000
Itori,NGA,2015,0.0,Fewer than 300 000
Wannune,NGA,2015,51.308,Fewer than 300 000
Bula Chirabe/Banki [NGA],NGA,2015,35.031,Fewer than 300 000
Charanchi,NGA,2015,21.075,Fewer than 300 000
Jesse,NGA,2015,71.202,Fewer than 300 000
Obajana Ciment Factory,NGA,2015,0.0,Fewer than 300 000
Zango,NGA,2015,26.582,Fewer than 300 000
Sukuku,NGA,2015,38.97,Fewer than 300 000
Kankia,NGA,2015,31.672,Fewer than 300 000
Oguma 1,NGA,2015,31.38,Fewer than 300 000
Garko,NGA,2015,22.015,Fewer than 300 000
Aliero,NGA,2015,35.945,Fewer than 300 000
Kurgwi,NGA,2015,17.594,Fewer than 300 000
Damban,NGA,2015,20.96,Fewer than 300 000
Kuta,NGA,2015,33.987,Fewer than 300 000
Kachia,NGA,2015,25.453,Fewer than 300 000
Amaseri,NGA,2015,14.98,Fewer than 300 000
Egbe Oke,NGA,2015,55.757,Fewer than 300 000
Namu,NGA,2015,19.295,Fewer than 300 000
Azuwa,NGA,2015,62.132,Fewer than 300 000
Janguza,NGA,2015,0.0,Fewer than 300 000
Ibi,NGA,2015,36.186,Fewer than 300 000
Ogboja,NGA,2015,39.258,Fewer than 300 000
Kagara,NGA,2015,21.068,Fewer than 300 000
Samamiya,NGA,2015,20.077,Fewer than 300 000
Imeko,NGA,2015,53.538,Fewer than 300 000
Gwada,NGA,2015,0.0,Fewer than 300 000
Serti,NGA,2015,36.288,Fewer than 300 000
Ashaka/Jalingo,NGA,2015,22.5,Fewer than 300 000
Dengi,NGA,2015,29.166,Fewer than 300 000
Mbogwo,NGA,2015,20.064,Fewer than 300 000
Edun,NGA,2015,25.174,Fewer than 300 000
Ipetu Ijesha,NGA,2015,38.361,Fewer than 300 000
Bokkos,NGA,2015,18.859,Fewer than 300 000
Gindiri Town ,NGA,2015,0.0,Fewer than 300 000
Ikara,NGA,2015,21.976,Fewer than 300 000
Gwandu,NGA,2015,31.418,Fewer than 300 000
Dakingari,NGA,2015,33.122,Fewer than 300 000
Takai,NGA,2015,23.33,Fewer than 300 000
Ijebu Ijesha,NGA,2015,45.213,Fewer than 300 000
Igbeti,NGA,2015,68.782,Fewer than 300 000
Ndiya,NGA,2015,0.0,Fewer than 300 000
Alkaleri,NGA,2015,30.8,Fewer than 300 000
Pandogari,NGA,2015,15.096,Fewer than 300 000
Abaji,NGA,2015,63.838,Fewer than 300 000
Hunkuyi,NGA,2015,13.161,Fewer than 300 000
Otun Ekiti,NGA,2015,37.893,Fewer than 300 000
Sabon Rijiya,NGA,2015,23.0,Fewer than 300 000
Aidu,NGA,2015,15.652,Fewer than 300 000
Miango,NGA,2015,11.5,Fewer than 300 000
Okpella,NGA,2015,67.925,Fewer than 300 000
Garin Madsam,NGA,2015,25.84,Fewer than 300 000
Kalin,NGA,2015,32.339,Fewer than 300 000
Eku,NGA,2015,45.651,Fewer than 300 000
Nembe,NGA,2015,20.0,Fewer than 300 000
Guai,NGA,2015,20.025,Fewer than 300 000
Okpakeke,NGA,2015,41.425,Fewer than 300 000
Madagali,NGA,2015,31.281,Fewer than 300 000
Imota,NGA,2015,28.906,Fewer than 300 000
Ikpa Ibekwe,NGA,2015,51.3,Fewer than 300 000
Rogo,NGA,2015,20.13,Fewer than 300 000
Dirindaji,NGA,2015,18.83,Fewer than 300 000
Ile Igbo,NGA,2015,25.486,Fewer than 300 000
Aja Obiakpa,NGA,2015,0.0,Fewer than 300 000
Buguma,NGA,2015,12.3,Fewer than 300 000
Sumaila,NGA,2015,20.055,Fewer than 300 000
Inyi-Umuom,NGA,2015,20.65,Fewer than 300 000
Nenwe,NGA,2015,30.5,Fewer than 300 000
Gulma,NGA,2015,18.422,Fewer than 300 000
Igede Ekiti,NGA,2015,64.818,Fewer than 300 000
Yankara,NGA,2015,11.872,Fewer than 300 000
Mani,NGA,2015,24.463,Fewer than 300 000
Ogboloko,NGA,2015,45.225,Fewer than 300 000
Bakura,NGA,2015,14.96,Fewer than 300 000
Salka,NGA,2015,31.881,Fewer than 300 000
Gali,NGA,2015,15.36,Fewer than 300 000
Abuochicie,NGA,2015,24.95,Fewer than 300 000
Akamkpa,NGA,2015,24.0,Fewer than 300 000
Ile Oluji,NGA,2015,95.207,Fewer than 300 000
Rumirigo,NGA,2015,13.281,Fewer than 300 000
Karaye,NGA,2015,19.12,Fewer than 300 000
Isikpo,NGA,2015,25.764,Fewer than 300 000
Yabo,NGA,2015,23.175,Fewer than 300 000
Zurmi,NGA,2015,23.76,Fewer than 300 000
Jahun,NGA,2015,24.614,Fewer than 300 000
Jebba,NGA,2015,52.271,Fewer than 300 000
Yelwa 2,NGA,2015,22.417,Fewer than 300 000
Issele Uku,NGA,2015,51.03,Fewer than 300 000
Effon,NGA,2015,41.397,Fewer than 300 000
Amaokwe,NGA,2015,24.24,Fewer than 300 000
Ayetoro Iju & Ifa Ogbolu,NGA,2015,55.08,Fewer than 300 000
Ode Aye ,NGA,2015,24.727,Fewer than 300 000
Warawa,NGA,2015,10.15,Fewer than 300 000
Owode,NGA,2015,16.38,Fewer than 300 000
Mashi,NGA,2015,22.042,Fewer than 300 000
Ihubogo,NGA,2015,20.76,Fewer than 300 000
Obiogo,NGA,2015,0.0,Fewer than 300 000
Arafu,NGA,2015,0.0,Fewer than 300 000
Wamba,NGA,2015,31.757,Fewer than 300 000
Ikpayongo,NGA,2015,45.43,Fewer than 300 000
Glogbo/Seme [NGA],NGA,2015,13.4,Fewer than 300 000
Ode Omu,NGA,2015,45.11,Fewer than 300 000
Ibaka,NGA,2015,10.222,Fewer than 300 000
Saho Rami,NGA,2015,13.891,Fewer than 300 000
Pategi,NGA,2015,29.403,Fewer than 300 000
Ofugu Inye,NGA,2015,50.826,Fewer than 300 000
Eha Amufu,NGA,2015,13.465,Fewer than 300 000
Mahuta 2,NGA,2015,0.0,Fewer than 300 000
Tor Donga,NGA,2015,31.01,Fewer than 300 000
Mariga ,NGA,2015,18.779,Fewer than 300 000
Ekpene Ukim,NGA,2015,23.79,Fewer than 300 000
Ikot Ubo,NGA,2015,27.608,Fewer than 300 000
Buter,NGA,2015,21.48,Fewer than 300 000
Ogbaniko,NGA,2015,45.37,Fewer than 300 000
Sabon Birni 1,NGA,2015,25.785,Fewer than 300 000
Okpo,NGA,2015,69.941,Fewer than 300 000
Kokori,NGA,2015,38.554,Fewer than 300 000
Dan Hassan,NGA,2015,11.04,Fewer than 300 000
Ilawe Ekiti,NGA,2015,44.516,Fewer than 300 000
Dansadau,NGA,2015,14.925,Fewer than 300 000
Giade,NGA,2015,23.52,Fewer than 300 000
Ogoja,NGA,2015,50.773,Fewer than 300 000
Ikot Nakanda,NGA,2015,0.0,Fewer than 300 000
Bakumi,NGA,2015,34.737,Fewer than 300 000
Yelwa 3,NGA,2015,16.653,Fewer than 300 000
Itabono l,NGA,2015,0.0,Fewer than 300 000
Ahaba,NGA,2015,22.875,Fewer than 300 000
Bodo,NGA,2015,14.645,Fewer than 300 000
Umunede,NGA,2015,60.492,Fewer than 300 000
Karshi 1,NGA,2015,35.118,Fewer than 300 000
Kadaura,NGA,2015,0.0,Fewer than 300 000
Uzebba,NGA,2015,57.76,Fewer than 300 000
Kachako,NGA,2015,16.396,Fewer than 300 000
Miringa,NGA,2015,16.56,Fewer than 300 000
Aiyete,NGA,2015,34.9,Fewer than 300 000
Karim Lamido,NGA,2015,27.936,Fewer than 300 000
Ugwalawo,NGA,2015,41.44,Fewer than 300 000
Dan Musa,NGA,2015,0.0,Fewer than 300 000
Lafia_2,NGA,2015,29.461,Fewer than 300 000
Lessel,NGA,2015,49.031,Fewer than 300 000
Minjibir,NGA,2015,22.651,Fewer than 300 000
Paiko,NGA,2015,34.318,Fewer than 300 000
Bagudo,NGA,2015,32.694,Fewer than 300 000
Ipokia,NGA,2015,10.615,Fewer than 300 000
Ogume,NGA,2015,27.84,Fewer than 300 000
Faskari,NGA,2015,18.842,Fewer than 300 000
Kwaya,NGA,2015,19.934,Fewer than 300 000
Bena,NGA,2015,25.063,Fewer than 300 000
Oko Ita,NGA,2015,22.11,Fewer than 300 000
Mbacub,NGA,2015,25.215,Fewer than 300 000
Iworoko,NGA,2015,40.077,Fewer than 300 000
Tanglang,NGA,2015,31.356,Fewer than 300 000
Buruku 2,NGA,2015,13.971,Fewer than 300 000
Marmara,NGA,2015,12.266,Fewer than 300 000
Baga ,NGA,2015,33.876,Fewer than 300 000
Joo Tar,NGA,2015,0.0,Fewer than 300 000
Anyigba,NGA,2015,44.564,Fewer than 300 000
Ajido,NGA,2015,27.16,Fewer than 300 000
Getso,NGA,2015,13.04,Fewer than 300 000
Maiadua,NGA,2015,20.729,Fewer than 300 000
Kiyawa ,NGA,2015,20.24,Fewer than 300 000
Eziama/Okpuala,NGA,2015,14.0,Fewer than 300 000
Kiru,NGA,2015,16.32,Fewer than 300 000
Kasuwan Magani,NGA,2015,22.231,Fewer than 300 000
Ngo,NGA,2015,13.813,Fewer than 300 000
Okpoga,NGA,2015,71.175,Fewer than 300 000
Kofar Arewa,NGA,2015,12.138,Fewer than 300 000
Kukawa,NGA,2015,21.562,Fewer than 300 000
Ihugh,NGA,2015,27.96,Fewer than 300 000
Maru,NGA,2015,20.025,Fewer than 300 000
Dabai,NGA,2015,10.716,Fewer than 300 000
Kalgo,NGA,2015,17.844,Fewer than 300 000
Kangiwa,NGA,2015,29.048,Fewer than 300 000
Kudan,NGA,2015,0.0,Fewer than 300 000
